Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h
-15,0,-0.53 ,0.49 ,0.3,0.15,0.25,0.4,0.1,0.25,0.25,0.2
-15,0,0.07 ,-2.45 ,0.3,0.45,0.5,0.6,0,0,0.1,0.2
-15,0,0.20 ,0.87 ,0.7,0.6,0.75,0.8,0.2,0.15,0.15,0.2
-15,-0.8,1.18 ,-4.53 ,0.6,0.5,0.75,0.55,0.2,0.2,0.3,0.3
-15,-0.8,1.13 ,-4.87 ,0.5,0.45,0.7,0.4,0.25,0.3,0.3,0.25
-15,-0.8,0.73 ,0.78 ,0.55,0.75,0.6,0.65,0.1,0.2,0.25,0.2
-15,-0.8,2.40 ,-6.63 ,0.1,0.4,0.25,0.5,0.35,0.3,0.4,0.45
-15,-0.8,0.33 ,-7.16 ,0.4,0.5,0.45,0.5,0.2,0.3,0.25,0.25
-15,-0.8,1.17 ,-4.52 ,0.15,0.6,0.45,0.5,0.05,0.3,0.3,0.25
-15,0.4,-0.90 ,-0.56 ,0.4,0.5,0.6,0.55,0.25,0.5,0.5,0.5
-15,0.4,-1.03 ,0.85 ,0.25,0.2,0.6,0.6,0.2,0.25,0.45,0.35
-15,0.4,1.37 ,-1.14 ,0.45,0.4,0.55,0.4,0.3,0.35,0.55,0.35
-15,0.4,0.03 ,0.12 ,0.35,0.5,0.4,0.35,0.1,0.2,0.4,0.35
-15,0.4,-0.80 ,3.93 ,0.4,0.6,0.65,0.6,0.25,0.25,0.3,0.45
-15,0.4,1.50 ,-1.13 ,0.45,0.65,0.65,0.6,0.4,0.4,0.2,0.3
-15,0.8,-1.57 ,0.80 ,0.15,0.2,0.25,0.25,0.45,0.9,0.65,0.45
-15,0.8,-1.80 ,2.96 ,0.15,0.2,0.2,0.4,0.6,0.85,0.75,0.55
-15,0.8,-0.53 ,2.52 ,0.2,0.3,0.35,0.45,0.5,0.65,0.45,0.35
-15,0.8,-1.07 ,2.48 ,0.45,0.3,0.35,0.55,0.4,0.4,0.5,0.5
-15,0.8,-2.00 ,4.02 ,0.35,0.35,0.5,0.4,0.35,0.35,0.65,0.5
-15,0.8,-1.97 ,-14.44 ,0.5,0.4,0.3,0.25,0.25,0.55,0.4,0.55
-15,-0.4,0.87 ,-1.55 ,0.3,0.4,0.45,0.6,0.35,0.35,0.35,0.3
-15,-0.4,-0.80 ,-2.17 ,0.25,0.3,0.4,0.4,0.2,0.3,0.4,0.45
-15,-0.4,-0.40 ,3.80 ,0.3,0.4,0.5,0.3,0.3,0.5,0.35,0.4
-15,-0.4,0.47 ,-4.46 ,0.45,0.45,0.45,0.45,0.3,0.45,0.4,0.4
-15,-0.4,-0.53 ,0.43 ,0.75,0.45,0.55,0.6,0.45,0.25,0.3,0.2
-15,-0.4,1.07 ,-5.47 ,0.7,0.55,0.7,0.5,0.4,0.3,0.3,0.35
-15,0,-0.77 ,0.88 ,0.25,0.5,0.4,0.4,0.1,0.15,0.15,0.1
-15,0,-0.13 ,-1.53 ,0.45,0.65,0.5,0.6,0.2,0.15,0.25,0.1
-15,0,-0.33 ,-0.76 ,0.45,0.4,0.6,0.7,0.1,0.2,0.1,0.1
-10,0,0.50 ,0.70 ,0.65,0.65,0.7,0.65,0,0,0.1,0.05
-10,0,-0.57 ,2.04 ,0.6,0.7,0.85,0.65,0.1,0.2,0.35,0.25
-10,0,-0.23 ,3.78 ,0.4,0.65,0.75,0.8,0.4,0.55,0.35,0.65
-10,0,-0.93 ,2.24 ,0.1,0.25,0.2,0.2,0.15,0.2,0.2,0.15
-10,0,-0.23 ,-1.51 ,0.2,0.3,0.3,0.4,0.35,0.3,0.3,0.2
-10,0,-0.20 ,1.37 ,0.25,0.4,0.45,0.4,0.1,0.15,0.05,0.2
-10,-0.8,1.53 ,-9.53 ,0.2,0.45,0.5,0.5,0.3,0.25,0.15,0.2
-10,-0.8,2.13 ,-0.77 ,0.35,0.45,0.6,0.6,0.2,0.2,0.15,0.3
-10,-0.8,1.07 ,-4.29 ,0.6,0.6,0.55,0.55,0.2,0.3,0.25,0.3
-10,-0.8,2.03 ,-6.00 ,0.55,0.7,0.8,0.65,0.1,0.05,0.1,0.2
-10,-0.8,0.60 ,-6.95 ,0.55,0.7,0.6,0.8,0.1,0.15,0.25,0.1
-10,-0.8,1.18 ,-2.17 ,0.5,0.65,0.5,0.6,0.15,0.15,0.25,0.15
-10,0.4,-1.53 ,1.00 ,0.5,0.4,0.25,0.5,0.25,0.4,0.35,0.3
-10,0.4,-0.97 ,1.97 ,0.15,0.15,0.3,0.35,0.15,0.25,0.4,0.45
-10,0.4,-0.90 ,0.04 ,0.15,0.45,0.3,0.4,0.2,0.35,0.5,0.35
-10,0.4,-0.70 ,-5.90 ,0.3,0.3,0.35,0.4,0.7,0.2,0.25,0.4
-10,0.4,-0.83 ,1.95 ,0.25,0.4,0.45,0.6,0.15,0.25,0.25,0.3
-10,0.4,-1.80 ,1.46 ,0.3,0.45,0.5,0.55,0.1,0.3,0.3,0.35
-10,0.8,-0.97 ,1.89 ,0.1,0.15,0.15,0.3,0.15,0.45,0.45,0.45
-10,0.8,-1.63 ,-14.55 ,0.05,0,0.1,0.1,0.3,0.6,0.55,0.5
-10,0.8,-0.97 ,2.99 ,0.05,0.05,0.15,0.2,0.2,0.3,0.35,0.45
-10,0.8,-0.70 ,1.50 ,0.1,0.15,0.2,0.15,0.25,0.55,0.6,0.55
-10,0.8,-1.17 ,3.06 ,0.2,0.15,0.25,0.15,0.4,0.55,0.45,0.65
-10,0.8,-1.13 ,2.98 ,0.05,0.2,0.15,0.2,0.4,0.5,0.45,0.65
-10,-0.4,0.20 ,7.89 ,0.1,0.15,0.2,0.3,0.1,0.2,0.25,0.3
-10,-0.4,1.20 ,-3.88 ,0.1,0.3,0.3,0.4,0.05,0.1,0.3,0.2
-10,-0.4,0.73 ,0.48 ,0.1,0.25,0.4,0.3,0.3,0.15,0.15,0.35
-10,-0.4,1.07 ,-2.66 ,0.5,0.6,0.6,0.55,0,0.3,0.2,0.3
-10,-0.4,0.67 ,-1.35 ,0.4,0.4,0.4,0.55,0.25,0.4,0.35,0.25
-10,-0.4,1.53 ,-5.88 ,0.6,0.5,0.75,0.65,0.15,0.2,0.3,0.35
-5,0,1.05 ,0.53 ,0.45,0.55,0.65,0.65,0,0.1,0.05,0.05
-5,0,-0.03 ,3.47 ,0.35,0.45,0.45,0.5,0.2,0.2,0.3,0.35
-5,0,0.67 ,-0.65 ,0.5,0.65,0.65,0.6,0.2,0.2,0.3,0.3
-5,0,-0.33 ,1.27 ,0.25,0.35,0.4,0.35,0.1,0.1,0.05,0.05
-5,0,-0.97 ,-1.80 ,0.25,0.4,0.35,0.5,0.15,0.15,0.1,0.1
-5,0,0.70 ,0.32 ,0.15,0.1,0.15,0.4,0.25,0.15,0.1,0.15
-5,-0.8,1.63 ,-3.00 ,0.45,0.65,0.65,0.55,0.1,0.1,0.15,0.1
-5,-0.8,1.75 ,-3.77 ,0.45,0.5,0.55,0.65,0.3,0.15,0.15,0.25
-5,-0.8,2.40 ,-6.36 ,0.4,0.75,0.7,0.7,0.25,0.1,0.55,0.15
-5,-0.8,2.77 ,-8.10 ,0.5,0.7,0.7,0.7,0.2,0.15,0.15,0.2
-5,-0.8,0.97 ,-7.95 ,0.65,0.8,0.85,0.65,0.2,0.3,0.3,0.45
-5,-0.8,2.30 ,-6.10 ,0.6,0.75,0.65,0.65,0.25,0.2,0.25,0.3
-5,0.4,-0.43 ,-12.43 ,0.4,0.5,0.5,0.25,0.05,0.2,0.2,0.25
-5,0.4,-1.63 ,1.33 ,0.15,0.25,0.1,0.2,0.3,0.4,0.5,0.55
-5,0.4,-0.27 ,1.59 ,0.2,0.3,0.25,0.4,0.25,0.15,0.05,0.15
-5,0.4,-0.33 ,2.72 ,0.1,0.2,0.4,0.45,0.15,0.05,0.15,0.1
-5,0.4,0.30 ,2.81 ,0.1,0.1,0.2,0.4,0.2,0.25,0.3,0.2
-5,0.4,-0.13 ,0.70 ,0.05,0.25,0.55,0.55,0.05,0.15,0.25,0.4
-5,0.8,0.20 ,1.14 ,0.1,0.15,0.15,0.1,0.2,0.25,0.4,0.55
-5,0.8,-0.73 ,2.92 ,0,0,0,0,0.05,0.2,0.2,0.3
-5,0.8,-1.53 ,3.66 ,0.2,0.2,0.2,0.1,0.1,0.25,0.3,0.35
-5,0.8,-1.23 ,2.81 ,0.1,0.05,0.05,0.1,0.3,0.4,0.6,0.55
-5,0.8,-1.07 ,3.46 ,0.05,0.05,0.05,0.1,0.2,0.25,0.3,0.35
-5,0.8,-0.93 ,3.38 ,0.1,0.15,0.15,0.15,0.2,0.4,0.35,0.45
-5,-0.4,0.37 ,-2.31 ,0.25,0.15,0.15,0.35,0.15,0.15,0.15,0.2
-5,-0.4,-0.20 ,-9.67 ,0.1,0.2,0.3,0.25,0.15,0.1,0.05,0.2
-5,-0.4,-0.47 ,1.51 ,0.1,0.25,0.25,0.25,0.15,0.1,0.25,0.05
-5,-0.4,1.20 ,-2.07 ,0.2,0.4,0.5,0.35,0,0.1,0.1,0.1
-5,-0.4,0.03 ,8.69 ,0.3,0.5,0.5,0.55,0.2,0.25,0.2,0.3
-5,-0.4,0.13 ,-1.36 ,0.35,0.35,0.55,0.6,0.2,0.2,0.2,0.2
0,0.8,-1.13 ,2.41 ,0.25,0.3,0.3,0.2,0.05,0.25,0.25,0.3
0,0.4,-0.80 ,4.42 ,0.1,0.2,0.3,0.5,0,0.15,0.15,0.1
0,0,0.27 ,0.62 ,0.15,0.2,0.25,0.3,0.2,0.15,0.2,0.2
0,-0.4,0.70 ,-1.85 ,0.25,0.35,0.3,0.5,0.15,0.3,0.25,0.1
0,-0.8,0.80 ,-3.06 ,0.15,0.3,0.4,0.25,0.05,0.15,0.1,0.15
0,0.8,-0.90 ,2.81 ,0.4,0.5,0.5,0.3,0.25,0.35,0.55,0.35
0,0.4,-0.20 ,2.53 ,0.15,0.35,0.4,0.4,0.2,0.25,0.15,0.2
0,0,-0.17 ,1.08 ,0.3,0.3,0.35,0.35,0.15,0.3,0.4,0.2
0,-0.4,1.00 ,-1.34 ,0.3,0.3,0.55,0.4,0.1,0.15,0.35,0.35
0,-0.8,1.63 ,-4.86 ,0.15,0.4,0.5,0.55,0.25,0.1,0.3,0.4
0,0.8,-0.20 ,2.23 ,0.4,0.3,0.25,0.2,0.15,0.15,0.45,0.55
0,0.4,-0.40 ,2.61 ,0.4,0.3,0.3,0.25,0.05,0,0.1,0.2
0,0,-0.50 ,2.48 ,0.15,0.2,0.15,0.4,0.15,0.2,0.3,0.3
0,-0.4,0.87 ,3.83 ,0.45,0.25,0.5,0.65,0.1,0.05,0.05,0.05
0,-0.8,1.17 ,-3.73 ,0.4,0.5,0.55,0.7,0.15,0.1,0.2,0.15
0,0.8,-0.77 ,2.00 ,0.1,0.2,0.2,0.35,0.2,0.25,0.45,0.35
0,0.4,-0.07 ,3.68 ,0.15,0.2,0.3,0.35,0,0.1,0.25,0.3
0,0,-0.37 ,3.31 ,0.15,0.2,0.1,0.25,0.1,0.15,0.25,0.25
0,-0.4,0.43 ,-3.35 ,0.25,0.45,0.45,0.5,0,0.1,0.05,0.05
0,-0.8,0.73 ,-2.70 ,0.15,0.45,0.5,0.55,0.2,0.05,0,0.1
0,0.8,-0.75 ,4.51 ,0.15,0.1,0.1,0.25,0.05,0.2,0.35,0.4
0,0.4,-0.03 ,-2.33 ,0.15,0.25,0.35,0.3,0.1,0.1,0.15,0.2
0,0,0.03 ,5.47 ,0.15,0.2,0.5,0.45,0.05,0.15,0.25,0.2
0,-0.4,0.00 ,10.31 ,0.1,0.35,0.5,0.6,0.2,0.1,0.05,0.1
0,-0.8,0.97 ,-0.76 ,0.2,0.35,0.35,0.55,0.05,0.15,0.1,0.1
0,0.8,-1.07 ,3.53 ,0.2,0.1,0.2,0.15,0.25,0.35,0.4,0.4
0,0.4,0.00 ,3.44 ,0.1,0.15,0.15,0.1,0.15,0.3,0.2,0.25
0,0,0.13 ,-2.47 ,0.05,0.1,0.15,0.15,0.25,0.25,0.3,0.2
0,-0.4,0.17 ,-3.35 ,0.15,0.35,0.4,0.4,0.35,0.2,0.2,0.2
0,-0.8,0.50 ,-3.41 ,0.4,0.35,0.5,0.5,0.15,0.15,0.15,0.15
5,0,0.57 ,1.08 ,0.7,0.6,0.6,0.7,0.05,0,0.1,0.05
5,0,0.23 ,2.31 ,0.45,0.6,0.55,0.65,0.15,0.15,0.2,0.05
5,0,0.57 ,-14.40 ,0.3,0.4,0.4,0.4,0.15,0.05,0.05,0.05
5,0,-0.10 ,0.91 ,0.25,0.3,0.2,0.25,0.05,0.05,0.05,0.1
5,0,0.10 ,-1.41 ,0.15,0.25,0.3,0.25,0.25,0,0.05,0.1
5,0,0.80 ,0.17 ,0.3,0.35,0.4,0.5,0.1,0.1,0.1,0.2
5,-0.8,2.43 ,-6.37 ,0.55,0.7,0.65,0.75,0.45,0.15,0.3,0.3
5,-0.8,2.70 ,-5.12 ,0.25,0.5,0.45,0.5,0.3,0.3,0.2,0.25
5,-0.8,1.67 ,-3.78 ,0.4,0.5,0.65,0.65,0.05,0.15,0.2,0.4
5,-0.8,2.67 ,-102.37 ,0.9,0.65,0.75,0.75,0.05,0.85,0.05,0.2
5,-0.8,0.87 ,-8.97 ,0.2,0.65,0.6,0.5,0.3,0.3,0.4,0.45
5,-0.8,2.07 ,-6.41 ,0.6,0.7,0.55,0.4,0.05,0.25,0.2,0.3
5,0.4,0.00 ,0.96 ,0.4,0.55,0.5,0.55,0.15,0.15,0.2,0.15
5,0.4,-0.33 ,0.33 ,0.3,0.3,0.2,0.15,0.2,0.35,0.4,0.35
5,0.4,-0.17 ,0.09 ,0.3,0.2,0.2,0.2,0.35,0.3,0.3,0.5
5,0.4,0.00 ,3.39 ,0.15,0.2,0.2,0.35,0.2,0.3,0.35,0.3
5,0.4,-0.37 ,4.44 ,0.2,0.25,0.25,0.3,0.2,0.25,0.2,0.2
5,0.4,-0.70 ,1.18 ,0.15,0.2,0.35,0.4,0.25,0.2,0.25,0.25
5,0.8,-0.77 ,-0.97 ,0.05,0.05,0.05,0.1,0.15,0.3,0.4,0.35
5,0.8,-0.57 ,2.32 ,0.1,0.1,0.15,0.1,0.05,0.05,0.2,0.2
5,0.8,-0.67 ,1.46 ,0.05,0.15,0.1,0.1,0.25,0.25,0.25,0.35
5,0.8,-0.67 ,-4.21 ,0.05,0.05,0.05,0.05,0.15,0.2,0.25,0.2
5,0.8,-0.70 ,3.72 ,0.1,0.1,0.05,0.05,0.2,0.25,0.3,0.3
5,0.8,-0.63 ,1.22 ,0.05,0.1,0.15,0.25,0.25,0.3,0.45,0.35
5,-0.4,0.07 ,-2.28 ,0.4,0.45,0.35,0.5,0.05,0.15,0.1,0.15
5,-0.4,-0.03 ,-0.55 ,0.2,0.3,0.45,0.45,0.1,0.05,0.15,0.1
5,-0.4,0.43 ,-0.43 ,0.1,0.15,0.15,0.1,0.15,0.05,0.1,0.15
5,-0.4,0.40 ,-1.71 ,0.15,0.5,0.5,0.65,0.1,0.1,0.05,0.05
5,-0.4,0.23 ,-0.97 ,0.5,0.6,0.5,0.6,0.1,0.15,0.05,0.1
5,-0.4,1.27 ,-3.31 ,0.3,0.4,0.5,0.5,0.05,0.05,0.05,0.05
10,0,0.53 ,1.72 ,0.3,0.35,0.55,0.5,0.1,0.05,0.1,0.15
10,0,0.23 ,4.21 ,0.2,0.3,0.55,0.55,0,0.1,0,0.05
10,0,0.10 ,2.79 ,0.4,0.45,0.5,0.5,0.05,0.1,0.15,0.15
10,0,0.20 ,0.74 ,0.3,0.3,0.5,0.45,0,0,0,0.1
10,0,-0.37 ,0.56 ,0.4,0.4,0.45,0.6,0.15,0.15,0.1,0.1
10,0,0.02 ,-0.17 ,0.2,0.2,0.35,0.45,0.15,0.15,0.15,0.15
10,-0.8,2.93 ,-6.79 ,0.65,0.65,0.75,0.75,0.15,0.15,0.2,0.15
10,-0.8,1.70 ,-5.89 ,0.55,0.65,0.5,0.55,0.2,0.15,0.15,0.1
10,-0.8,2.40 ,-8.74 ,0.75,0.8,0.8,0.75,0.05,0.3,0.1,0.1
10,-0.8,2.15 ,7.92 ,0.65,0.8,0.65,0.85,0.2,0.2,0.1,0.1
10,-0.8,0.93 ,-7.19 ,0.55,0.7,0.65,0.85,0.2,0.1,0.1,0.1
10,-0.8,1.60 ,-7.26 ,0.75,0.85,0.85,0.8,0.25,0.05,0.05,0.2
10,0.4,-0.30 ,2.33 ,0.3,0.25,0.4,0.3,0.3,0.45,0.55,0.45
10,0.4,-0.33 ,1.13 ,0.5,0.35,0.35,0.25,0.4,0.4,0.7,0.5
10,0.4,-0.20 ,1.11 ,0.3,0.4,0.35,0.2,0.45,0.45,0.5,0.35
10,0.4,-0.27 ,3.32 ,0.25,0.1,0.15,0.35,0.25,0.35,0.8,0.65
10,0.4,-0.13 ,-3.80 ,0.15,0.2,0.2,0.3,0.3,0.45,0.4,0.7
10,0.4,0.20 ,1.04 ,0.35,0.3,0.25,0.55,0.25,0.4,0.55,0.6
10,0.8,-0.50 ,4.50 ,0.05,0.05,0.05,0.05,0.6,0.7,0.8,0.8
10,0.8,-0.53 ,5.12 ,0.1,0.2,0.1,0.3,0.3,0.55,0.7,0.6
10,0.8,-0.83 ,2.76 ,0.1,0.1,0.15,0.15,0.2,0.35,0.45,0.6
10,0.8,0.47 ,0.10 ,0.05,0.15,0.2,0.25,0.45,0.35,0.6,0.5
10,0.8,-0.43 ,2.20 ,0.4,0.35,0.45,0.45,0.4,0.35,0.55,0.5
10,0.8,-0.50 ,2.28 ,0.25,0.25,0.3,0.4,0.2,0.45,0.65,0.5
10,-0.4,-0.97 ,-3.89 ,0.1,0.3,0.45,0.4,0.1,0.4,0.15,0.35
10,-0.4,0.53 ,-7.21 ,0.2,0.45,0.4,0.55,0.05,0.3,0.3,0.3
10,-0.4,0.73 ,0.92 ,0.45,0.65,0.6,0.65,0.3,0.15,0.15,0.15
10,-0.4,-0.27 ,-2.81 ,0.35,0.15,0.75,0.75,0.1,0.15,0.2,0.15
10,-0.4,0.80 ,-1.52 ,0.4,0.7,0.85,0.85,0.05,0.1,0.2,0.15
10,-0.4,0.37 ,-4.41 ,0.25,0.6,0.65,0.75,0.2,0.1,0.2,0.1
15,0,0.23 ,3.05 ,0.3,0.3,0.45,0.45,0.15,0.15,0.15,0.1
15,0,0.25 ,1.49 ,0.1,0.25,0.6,0.6,0.05,0.05,0.1,0.1
15,0,0.20 ,1.41 ,0.1,0.1,0.15,0.4,0.05,0.05,0.05,0.05
15,0,0.23 ,0.13 ,0.5,0.75,0.75,0.8,0.2,0,0,0.05
15,0,0.00 ,-2.79 ,0.3,0.5,0.55,0.45,0.1,0.2,0.25,0.25
15,0,-0.20 ,0.74 ,0.4,0.4,0.4,0.65,0.15,0.1,0.2,0.2
15,-0.8,2.70 ,-8.16 ,0.3,0.4,0.5,0.5,0.4,0.3,0.3,0.15
15,-0.8,2.50 ,-6.46 ,0.6,0.85,0.85,0.8,0.2,0.15,0.2,0.15
15,-0.8,3.03 ,-11.60 ,0.65,0.8,0.7,0.8,0.2,0.15,0.15,0.15
15,-0.8,3.07 ,-9.46 ,0.7,0.85,0.8,0.75,0.05,0.05,0.3,0.2
15,-0.8,2.20 ,-8.03 ,0.75,0.65,0.75,0.7,0.15,0.2,0.1,0.1
15,-0.8,3.00 ,-7.37 ,0.6,0.7,0.8,0.8,0.1,0.05,0.25,0.2
15,0.4,0.03 ,2.46 ,0.15,0.3,0.15,0.15,0.4,0.35,0.35,0.65
15,0.4,0.10 ,2.79 ,0.15,0.2,0.2,0.35,0.35,0.55,0.5,0.45
15,0.4,0.03 ,-0.64 ,0.15,0.2,0.15,0.05,0.35,0.4,0.45,0.65
15,0.4,0.40 ,10.61 ,0.1,0.1,0.35,0.25,0.25,0.3,0.4,0.5
15,0.4,0.13 ,4.23 ,0.2,0.3,0.5,0.35,0.45,0.65,0.55,0.5
15,0.4,0.27 ,0.80 ,0.4,0.4,0.45,0.45,0.3,0.35,0.4,0.55
15,0.8,0.57 ,4.33 ,0.1,0.05,0.05,0.1,0.2,0.45,0.4,0.4
15,0.8,-0.87 ,8.06 ,0.1,0.2,0.1,0.15,0.3,0.5,0.4,0.55
15,0.8,-0.43 ,3.72 ,0.1,0.15,0.1,0.1,0.15,0.35,0.4,0.45
15,0.8,-1.00 ,-0.18 ,0.05,0.25,0.3,0.2,0.1,0.4,0.4,0.45
15,0.8,-0.05 ,2.28 ,0.45,0.3,0.3,0.35,0.25,0.45,0.4,0.4
15,0.8,-0.57 ,1.79 ,0.1,0.1,0.05,0.05,0.3,0.4,0.5,0.4
15,-0.4,0.13 ,-3.80 ,0.2,0.4,0.4,0.4,0.2,0.1,0.3,0.1
15,-0.4,-0.03 ,-2.76 ,0.35,0.55,0.55,0.45,0.05,0.15,0.1,0.05
15,-0.4,0.40 ,-12.59 ,0.2,0.6,0.6,0.5,0.05,0.15,0.15,0.1
15,-0.4,0.37 ,-1.14 ,0.2,0.6,0.55,0.6,0.1,0.15,0.25,0.15
15,-0.4,0.00 ,-0.44 ,0.3,0.85,0.8,0.7,0.1,0.1,0.05,0.05
15,-0.4,-0.17 ,-4.15 ,0.35,0.7,0.75,0.75,0,0.05,0.1,0.1